Shark Number,Date,Time,Species,Picture Quality ,Sex,Pre Caudal Length,Fork Length,Total Length,Pre Pectoral Girth,Post Pectoral Girth,Post First Dorsal Girth,Gill Slit Height,Gill Slit Height / Total Length,Snout to First Gill Slit,Snout to Gill Slit / Total Length,Pectoral 1 SA,Pectoral 2 SA,Pectoral SA Avg,Pec SA / Total Length,Pectoral 1 Height,Pectoral 2 Height,Pectoral Height Avg,Pec Height / Total Length,Pectoral Aspect Ratio (h^2/SA),Caudal SA,Caudal SA / Total Length,Caudal Height,Caudal Height / Total Length,Caudal Aspect Ratio (h^2/SA),Notes,Image Analysis,Pixels/1cm,The angle of the snout ,,,
18,7/12/2022,13:14,Smooth Dog,,F,46.74,50.8,54.61,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
19,7/12/2022,13:15,Smooth Dog,,F,45.72,49.53,56.9,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
20,7/12/2022,13:20,Smooth Dog,,F,44.45,48.26,55.88,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
21,7/12/2022,13:20,Smooth Dog,,F,43.69,48.26,55.88,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
22,7/12/2022,13:21,Smooth Dog,,F,43.18,46.23,53.85,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
23,7/14/2022,10:24,Smooth Dog,angled head,F,59.69,64.26,74.93,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
24,7/14/2022,10:25,Smooth Dog,angled head,F,58.93,64,74.42,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
25,7/14/2022,10:28,Smooth Dog,"angled head, angled pec",F,54.61,58.42,67.31,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
26,7/14/2022,10:31,Smooth Dog,good,M,57.91,60.96,71.63,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
27,7/14/2022,10:34,Smooth Dog,good,M,53.85,58.42,66.55,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
28,7/14/2022,10:36,Smooth Dog,good,F,57.15,62.23,72.14,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
29,7/14/2022,10:37,Smooth Dog,good,M,64.77,66.04,73.66,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
30,7/14/2022,10:40,Smooth Dog,good,M,55.12,59.44,68.58,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
31,7/14/2022,10:42,Smooth Dog,good,M,41.15,43.69,52.07,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
32,7/14/2022,10:48,Smooth Dog,good,F,56.9,62.48,72.9,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
33,7/14/2022,10:47,Smooth Dog,good,F,59.94,65.79,74.93,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
34,7/14/2022,10:48,Smooth Dog,good,F,46.23,51.31,58.17,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
35,7/14/2022,12:29,Smooth Dog,good,M,44.45,48.01,55.63,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
36,7/14/2022,12:31,Smooth Dog,angled pec,M,43.67,47.24,55.88,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
37,7/20/2022,14:30,Blue,good,M,172,190,228,72,71.5,61.4,7.948,0.046209302,42.95,0.188377193,369.998,526.03,448.014,1.964973684,37.159,44.736,40.9475,0.179594298,0.016414526,704.784,3.091157895,56.615,0.248311404,0.01994675,,,,,,,
38,7/23/2022,8:50,Sand Bar,good,M,152,169,200,75,82,70.2,8.57,0.056381579,40.928,0.20464,463.466,463.466,463.466,2.31733,36.127,36.127,36.127,0.180635,0.01408043,489.261,2.446305,43.118,0.21559,0.018999695,,,,,,,
39,7/23/2022,12:18,Blue,good,M,233,252.9,288,80,80.5,65.3,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,"lethargic, no fight, lamprey and parasitic copepods ",,,,,,
40,8/15/2022,9:37,Smooth Dog,good,M,38,41.5,46.7,13.1,13.9,11,1.798,0.047315789,11.357,0.243190578,13.382,13.441,13.4115,0.287184154,5.11,5.06,5.085,0.10888651,0.041284562,22.776,0.487708779,8.913,0.190856531,0.074688455,,,,,,,
41,8/15/2022,9:41,Smooth Dog,good,F,35.5,38.6,44.2,13.6,14,10.4,1.824,0.051380282,8.978,0.203122172,14.352,55.17,34.761,0.786447964,5.045,10.169,7.607,0.172104072,0.037662774,20.098,0.454705882,7.984,0.180633484,0.071757276,,,,,,,
42,8/15/2022,9:46,Smooth Dog,good,M,46.5,51,59.2,17,18.3,14.1,2.193,0.04716129,9.196,0.155337838,23.05,20.403,21.7265,0.367001689,6.824,6.8802,6.8521,0.115744932,0.036503618,42.497,0.71785473,11.679,0.197280405,0.054216482,,,,,,,
43,8/15/2022,11:30,Smooth Dog,good,F,46,49.8,57.7,16,18.4,13.7,2.027,0.044065217,12.099,0.209688042,23.816,24.275,24.0455,0.416733102,5.778,7.026,6.402,0.110953206,0.029540763,28.667,0.496828423,9.256,0.160415945,0.051795095,,,,,,,
44,7/27/2022,12:00,Mako,NA,F,137,149,160,68,78,,,0,,,,,,,,,,,,,,,,,,,,,,,
45,8/2/2022,7:30,Smooth Dog,NA,M,82,88,102,26,27,25,,0,,,,,,,,,,,,,,,,,,,,,,,
46,8/3/2022,10:15,Blue,NA,M,180,196,240,72,70,66,,0,,,,,,,,,,,,,,,,,,,,,,,
47,8/5/2022,11:10,Mako,NA,F,126,138,155,62,67,63,,0,,,,,,,,,,,,,,,,,,,,,,,
48,8/19/2022,11:02,Mako,,F,74,79.9,85,37,41,35,8.502,0.114891892,21.262,,70.705,70.705,,,12.342,12.342,,,,102.272,,19.932,,,,,,,,,
49,8/19/2022,13:13,Mako,,F,123,132.5,146,61,66,60,9.484,0.077105691,31.103,,164.206,,,,20.233,,,,,286.281,,33.978,,,,,,,,,
50,8/24/2022,11:10,Mako,,F,77,86,90,41,44,39,9.619,0.124922078,26.838,,115.136,,,,13.3,13.3,,,,227.101,,24.882,,,,,,,,,
51,8/24/2022,11:30,Mako,,F,80,89,94,40,42.4,40,11.278,0.140975,25.726,,92.343,,,,14.311,,,,,221.723,,27.291,,,,,,,,,
52,8/24/2022,12:20,Mako,,F,94,104,116,44,50.5,48,NA,#VALUE!,NA,,126.83,,,,14.937,,,,,250,,30.357,,,,,,,,,
53,8/24/2022,12:55,Mako,,F,115,128,144,58,56,57,13.323,0.115852174,38.765,,162,,,,20,,,,,339.936,,28.71,,,,,,,,,
54,10/7/2022,9:04,Smooth Dog,,M,24,24.5,28,7,7,6,2,0.083333333,9,,39.876,,,,7.738,,,,,48.873,,12.87,,,,,,,,,
55,10/7/2022,9:10,Smooth Dog,,M,20,22.3,25.3,7,7,6,2,0.1,8.71,,34.353,,,,7.597,,,,,19.117,,8.193,,,,,,,,,
56,10/7/2022,9:16,Smooth Dog,,M,17.7,19.3,22,6.5,6.5,5,,0,,,,,,,,,,,,,,,,,,,,,,,
